Name,Value
 Black Mug Cafe,362
 Black Pepper Lounge  Case De Bengaluru,363
 Bling  The Zuri,364
 Blistering Barnacles,365
 Blk Plus Wht,366
 BloomsburyS Global Kitchen  Bakehouse,367
 Blow,368
 Blue Bar  The Taj West End,369
 Blue Berry Restaurant,370
 Blue Ginger  The Taj West End,371
 Blue Terrain  Novotel,372
 Blue Tokai Coffee Roasters,373
 Bluo,374
 Bo Desi Meals,375
 BobS Bar,376
 BobS Restaurant,377
 Bobacha,378
 Boho,379
 Bohra Bohra Cafe,380
 Bold,381
 Bologna,382
 Bombay Adda,383
 Bombay Brasserie,384
 Bombay Chowpaty Kulfi,385
 Bombay Kulfis,386
 Bombay Sandwich Company,387
 Bombay Vada Pav Corner,388
 Bon Appetit Resto,389
 Bon Sante,390
 Bonfooder,391
 Bonsouth,392
 Bonum Cibum,393
 Boondock Bistro,394
 Bootlegger,395
 Bottle  Glass,396
 Bottle Breacher,397
 Bottoms Up Resto Bar,398
 Bowring Kulfi,399
 BozoS Yum Yums,400
 Brahmin Tiffins  Coffee,401
 BrahminS Coffee Bar,402
 Brahmins Food Corner,403
 Brahmins Thatte Idli,404
 Bread Crumbs Bakery,405
 Breads And Banter,406
 Breadworks,407
 Break Hour,408
 Breakfast House,409
 Breezy Cow Bar,410
 Brew And Barbeque  A Microbrewery Pub,411
 Brew Bakes Cafe,412
 Brew Meister,413
 Brewklyn Microbrewery,414
 Brews N Bites,415
 Brewsky,416
 Brewz Coffee,417
 Bricklane,418
 Brik Oven,419
 BrilramS Balaji Bhavan,420
 Brimstone Cafe,421
 Broadway  The Gourmet Theatre,422
 Brooks 37,423
 Brooks And Bonds Brewery,424
 Brownie Heaven,425
 Brunchilly,426
 Brundhavana Food Point,427
 Btdt Been There Done That,428
 Btm Bawarchi Biryani,429
 Btm Ghar Ka Khana,430
 Bubble Bee,431
 Bubblewrap Waffle Co,432
 Buddha Treats,433
 Buff Buffet Buff,434
 Bufferia,435
 Bulls N Bears  Bar Trade Xchange,436
 Bun Maska Chai,437
 Bun Town,438
 Bun World,439
